State/UTs,Agriculture and Allied Activities,Rural Development,Special Area Programmes,Irrigation and Flood Control,Energy,Industry and Minerals,Transport,Science Technology and Environment,General Economic Services,Social Services,General Services,Total
States Total,1109270.76,1421005.38,657826.54,3777256.48,2605978.60,467356.92,2892455.43,251025.80,667423.87,7492100.32,351450.80,21693150.90
Andhra Pradesh,85717.39,144803.51,87763.57,1221595.89,4649.83,43692.69,168905.12,14049.13,122857.89,815918.26,7126.32,2717079.60
Arunachal Pradesh,8926.24,2446.84,9972.59,6748.80,11883.52,991.45,23407.55,989.04,10088.77,30469.99,2373.68,108298.47
Assam,12290.03,20696.55,47279.25,5344.28,35455.00,5834.22,29634.74,3043.32,29414.72,56515.80,21419.89,266927.80
Bihar,30990.14,65270.77,60382.77,133541.38,27043.83,28907.51,334600.29,6398.78,17205.95,240292.21,20596.78,965230.41
Chhattisgarh,24030.60,45313.72,29155.51,90563.67,11132.83,18318.34,134366.96,18815.83,25263.22,326132.29,11029.03,734122.00
Goa,4633.35,2442.92,504.31,17153.01,13033.16,2389.99,14030.24,5951.13,3136.06,50238.91,8936.50,122449.58
Gujarat,89057.06,47021.53,1900.43,481453.30,60772.32,42825.23,118304.14,8472.36,35313.69,679338.56,688.68,1565147.30
Haryana,10608.39,36711.57,2275.58,75936.68,85714.51,10873.97,53359.11,10219.34,5153.02,272559.53,11706.78,575118.48
Himachal Pradesh,11389.06,8513.89,1118.98,20937.13,11005.24,2648.24,35584.13,12377.02,7722.51,93328.83,5199.59,209824.62
Jammu and Kashmir,7727.20,12699.25,24297.28,17183.90,66907.94,8812.80,88555.23,2152.18,30941.75,111054.33,69999.19,440331.05
Jharkhand,24185.33,96414.37,16122.00,80121.00,47685.00,9497.00,46542.00,14663.00,7091.30,207993.00,20321.00,570635.00
Karnataka,141505.12,103548.22,7385.09,250441.15,205071.72,50828.15,267477.98,18268.99,47417.23,592673.80,38074.07,1722691.52
Kerala,20463.63,20675.65,4628.89,19631.43,54795.56,9707.72,69402.07,19952.57,18328.54,129621.65,2837.54,370045.25
Madhya Pradesh,61908.22,133911.42,66229.62,208957.58,118594.36,21795.51,202023.86,5625.30,31147.49,349119.84,5430.40,1204743.60
Maharashtra,130299.00,91929.00,19333.00,513140.00,139820.00,20933.00,176125.00,7815.00,49043.00,758343.00,35442.00,1942222.00
Manipur,2259.31,3740.27,2311.96,18929.01,14244.08,6247.72,2512.00,1732.22,51470.61,29057.83,1145.31,133650.32
Meghalaya,7430.17,9386.11,1311.72,1429.13,23418.31,2841.23,16237.36,3262.57,2449.10,28096.95,2543.89,98406.54
Mizoram,5844.98,4705.26,4740.83,3330.57,6756.11,2123.60,13371.94,2257.47,3450.94,28378.10,1773.55,76733.35
Nagaland,7105.67,7191.74,8397.97,5282.56,4277.21,4644.19,7399.85,2258.49,4975.52,28049.04,4980.81,84563.05
Orissa,17618.17,13735.98,82489.98,154157.29,32989.63,16494.43,40813.83,12652.21,26013.78,199633.32,6682.81,603281.43
Punjab,15099.20,39806.48,NA,21340.34,153558.98,20.00,127493.80,3621.30,22671.55,114241.31,4556.47,502409.43
Rajasthan,46527.89,73923.36,42820.56,87701.81,569237.98,17017.38,67821.63,5693.29,69386.59,383490.34,15841.06,1379461.89
Sikkim,3663.57,10537.61,3180.09,1216.58,3866.07,2249.98,4606.94,2312.30,2259.73,23125.31,3686.06,60704.24
Tamil Nadu,91502.96,147091.02,5254.00,32525.11,229183.76,68124.33,238748.90,15941.09,21870.84,566516.94,5672.61,1422431.56
Tripura,7571.67,11557.25,9121.63,4126.70,6765.97,3848.86,17914.81,3120.83,1116.53,38467.04,3103.78,106715.07
Uttar Pradesh,172875.37,175223.17,45702.78,235422.24,455280.91,10633.96,454137.23,25836.69,10186.51,825589.05,18764.76,2429652.67
Uttaranchal,31451.03,20503.72,NA,37559.42,39427.77,1743.93,83426.05,15111.10,8289.54,146782.58,10193.08,394488.22
West Bengal,36590.01,71204.20,74146.15,31486.52,173407.00,53311.49,55652.67,8433.25,3157.49,367072.51,11325.16,885786.45
Union Territories Total,13400.10,29816.89,NA,7869.12,141445.80,8280.22,255679.49,7066.98,8245.38,595224.88,49927.06,1116955.92
Andaman and Nicobar Islands,1506.85,3766.74,NA,269.50,2853.38,403.79,24054.86,1742.56,1743.63,20702.31,3684.02,60727.64
Chandigarh,102.02,947.14,NA,34.89,2553.94,87.94,1965.58,1614.28,422.22,24023.52,317.68,32069.21
Dadra and Nagar Haveli,312.72,314.57,NA,128.20,2262.45,24.34,1915.19,464.91,258.04,4172.61,145.09,9998.12
Daman and Diu,183.03,324.31,NA,85.50,1153.86,53.35,3499.56,101.66,205.25,2750.22,417.49,8774.23
Delhi,1417.26,19996.66,NA,2820.77,125795.00,1411.59,204996.10,2264.08,2206.44,478372.47,35472.34,874752.71
Lakshadweep,2790.69,200.11,NA,465.36,2346.51,91.64,12159.58,488.09,47.80,3222.89,148.81,21961.48
Puducherry,7087.53,4267.36,NA,4064.90,4480.66,6207.57,7088.62,391.40,3362.00,61980.86,9741.63,108672.53
