State/UTs,Agriculture and Allied Activities,Rural Development,Special Area Programmes,Irrigation and Flood Control,Energy,Industry and Minerals,Transport,Science Technology and Environment,General Economic Services,Social Services,General Services,Total
States Total,3087731.00,2974328.00,1124234.00,6032128.00,4468627.00,1107034.00,4356104.00,538815.00,1644385.00,17891388.00,1901106.00,45125877.00
Andhra Pradesh,204495.00,424308.00,2500.00,1496963.00,65593.00,63244.00,292865.00,5974.00,123043.00,1595257.00,25759.00,4300000.00
Arunachal Pradesh,8660.00,3439.00,13716.00,11755.00,22464.00,1562.00,25240.00,5199.00,180541.00,44545.00,2878.00,320000.00
Assam,69692.00,82328.00,128239.00,103632.00,43925.00,17075.00,85265.00,14979.00,22545.00,261442.00,70879.00,900000.00
Bihar,222369.00,93068.00,82180.00,172633.00,82578.00,31945.00,484428.00,18348.00,72077.00,834805.00,44569.00,2139000.00
Chattisgarh,162169.00,49614.00,72849.00,204160.00,28690.00,25661.00,144332.00,37523.00,61299.00,839970.00,44760.00,1671027.00
Goa,14462.00,12653.00,1456.00,26659.00,20330.00,14402.00,36469.00,7933.00,10332.00,136812.00,50492.00,332000.00
Gujarat,257797.00,155711.00,14895.00,932757.00,201901.00,118158.00,371077.00,88318.00,154027.00,1502401.00,2958.00,3800000.00
Haryana,88834.00,94162.00,3000.00,98500.00,115836.00,7660.00,124233.00,19195.00,25439.00,749435.00,706705.00,2033000.00
Himachal Pradesh,29840.00,23790.00,2401.00,36619.00,46160.00,2702.00,62190.00,14649.00,7217.00,99669.00,5448.00,330685.00
Jammu and Kashmir,21788.00,13302.00,39023.00,45031.00,47800.00,15140.00,81941.00,3682.00,100031.00,228528.00,63734.00,660000.00
Jharkhand,64938.00,173645.00,109745.00,70500.00,40000.00,17400.00,147500.00,14400.00,126236.00,434841.00,24070.00,1223275.00
Karnataka,365306.00,144992.00,52279.00,684341.00,440658.00,65785.00,427154.00,35535.00,106680.00,1417852.00,66420.00,3807002.00
Kerala,96263.00,46127.00,16151.00,55103.00,112300.00,46628.00,113439.00,34040.00,33775.00,386639.00,260535.00,1201000.00
Madhya Pradesh,178121.00,195493.00,103398.00,304665.00,198791.00,37117.00,254196.00,50467.00,70203.00,887370.00,20179.00,2300000.00
Maharashtra,255027.00,118238.00,18548.00,757717.00,304636.00,30235.00,477549.00,30539.00,73888.00,1955801.00,177822.00,4200000.00
Manipur,6640.00,6222.00,2937.00,45386.00,17131.00,4279.00,23983.00,6883.00,56836.00,92394.00,12711.00,275402.00
Meghalaya,25180.00,21146.00,2728.00,12840.00,56632.00,5110.00,30004.00,5740.00,24203.00,83668.00,5567.00,272818.00
Mizoram,34539.00,3336.00,8597.00,5376.00,9086.00,2775.00,9320.00,3415.00,8293.00,54155.00,23602.00,162494.00
Nagaland,18473.00,6496.00,10080.00,14863.00,8106.00,5300.00,21152.00,4969.00,19022.00,49184.00,9791.00,167436.00
Orissa,114663.00,31806.00,169233.00,184219.00,68840.00,8709.00,133226.00,31333.00,32976.00,436757.00,18239.00,1230000.00
Punjab,43410.00,102139.00,NA,103036.00,331166.00,5812.00,156562.00,6002.00,28707.00,355847.00,19318.00,1152000.00
Rajasthan,111216.00,278341.00,12634.00,97088.00,1206700.00,17850.00,136728.00,14619.00,24777.00,835320.00,14727.00,2750000.00
Sikkim,3921.00,17282.00,4097.00,14392.00,2554.00,715.00,7655.00,6829.00,20547.00,56478.00,5531.00,140000.00
Tamil Nadu,205252.00,274887.00,18400.00,63233.00,206780.00,24485.00,139284.00,16178.00,141070.00,1261149.00,2784.00,2353502.00
Tripura,7489.00,9465.00,16911.00,6091.00,1816.00,3191.00,18676.00,4323.00,1195.00,83345.00,11803.00,164305.00
Uttar Pradesh,338277.00,391899.00,76875.00,240699.00,578901.00,450150.00,309728.00,14600.00,93661.00,1730220.00,14521.00,4239531.00
Uttarakhand,52148.00,56874.00,NA,53597.00,40396.00,2828.00,116314.00,18699.00,14506.00,269694.00,154946.00,780000.00
West Bengal,86762.00,143565.00,141362.00,190273.00,168857.00,81116.00,125594.00,24444.00,11259.00,1207810.00,40358.00,2221400.00
Union Territories Total,30444.00,32173.00,NA,18196.00,288282.00,14257.00,471324.00,21194.00,24322.00,1128028.00,74763.00,2102983.00
Andaman and Nicobar Islands,5731.00,5956.00,NA,1762.00,6890.00,669.00,55234.00,3254.00,5668.00,52830.00,5490.00,143484.00
Chandigarh,54.00,600.00,NA,39.00,3970.00,134.00,651.00,3513.00,685.00,55040.00,1503.00,66189.00
Dadra and Nagar Haveli,958.00,1469.00,NA,1536.00,4758.00,242.00,7534.00,594.00,1063.00,13933.00,1548.00,33635.00
Daman and Diu,1518.00,1262.00,NA,544.00,3699.00,518.00,8683.00,785.00,1654.00,12133.00,1699.00,32495.00
Delhi,NA,16222.00,NA,6000.00,250900.00,2490.00,354795.00,8450.00,1680.00,829179.00,43585.00,1513301.00
Lakshadweep,3250.00,520.00,NA,300.00,2550.00,300.00,16200.00,3900.00,890.00,10393.00,576.00,38879.00
Puducherry,18933.00,6144.00,NA,8015.00,15515.00,9904.00,28227.00,698.00,12682.00,154520.00,20362.00,275000.00
