State/UTs,Agriculture and Allied Activities,Rural Development,Special Area Programmes,Irrigation and Flood Control,Energy,Industry and Minerals,Transport,Science Technology and Environment,General Economic Services,Social Services,General Services,Total
Total States,1829998.08,1977169.33,787462.87,4230416.28,3387688.93,814971.90,3610198.28,327221.35,738892.74,11249956.08,613410.71,29567386.55
Andhra Pradesh,153162.84,308775.47,5785.78,1173938.25,3026.13,24020.86,210171.95,5393.90,89672.88,949798.19,15350.64,2939096.89
Arunachal Pradesh,8078.00,4151.00,11581.00,10666.00,35971.00,1015.00,54360.00,4905.00,8057.00,50080.00,12737.00,201601.00
Assam,41022.89,39688.65,98948.36,22260.99,16507.03,11021.56,49101.84,14777.74,27601.58,163522.58,17855.73,502308.95
Bihar,62766.22,93570.84,66907.32,107093.91,84994.34,43934.15,368951.74,10024.42,18048.66,532985.36,29074.04,1418351.00
Chattisgarh,82336.25,29593.95,30616.70,103152.62,18142.10,22752.04,88281.09,27872.77,59187.55,559961.94,6246.48,1028143.49
Goa,6167.91,4652.07,812.21,20576.21,20122.36,2820.25,26231.43,7155.85,25118.29,67015.89,15884.52,196556.99
Gujarat,175735.16,58013.45,12931.00,542897.42,96327.46,80365.47,264493.00,28566.61,59032.32,944229.63,790.98,2263382.50
Haryana,36684.50,59221.90,2669.63,79810.87,103227.11,4947.22,130984.10,13254.23,30122.16,488035.48,13486.73,962443.93
Himachal Pradesh,24380.00,14755.00,1297.00,28649.00,21774.00,2112.00,65709.00,12563.00,9299.00,94501.00,5728.00,280767.00
Jammu and Kashmir,16381.08,10079.62,38792.74,39375.09,51022.24,10066.21,98885.72,3163.67,27662.31,176766.58,55718.85,527914.11
Jharkhand,25157.00,107502.00,22672.00,29179.00,53190.00,13508.00,92443.00,9016.00,22339.00,263425.00,14457.00,652888.00
Karnataka,169160.63,104125.72,64119.10,387569.96,355283.49,32638.43,304739.25,33858.62,71786.19,1016964.55,56453.57,2596699.51
Kerala,48136.90,32221.65,5496.88,21627.20,73363.44,27369.30,111521.15,21150.42,38761.21,208782.23,188977.55,777407.93
Madhya Pradesh,96268.17,117860.81,30934.86,229434.73,157311.50,17418.08,211724.97,6362.39,35241.29,552292.49,6150.66,1460999.95
Maharashtra,189245.00,78394.00,16431.00,718311.00,227938.00,15615.00,390790.00,11967.00,56653.00,1026781.00,40934.00,2773059.00
Manipur,4381.45,5616.12,6726.66,20754.05,14976.21,2908.48,11981.17,2233.55,65539.00,41667.51,1657.18,178441.38
Meghalaya,14006.07,10672.46,2077.93,4557.02,31365.40,4408.37,21192.96,4394.41,2533.17,41749.36,4829.18,141786.33
Mizoram,5746.74,3128.33,6005.83,4817.23,10161.73,1867.49,7415.99,1446.91,6626.87,56760.14,2744.82,106722.08
Nagaland,11149.13,11936.30,11355.80,8186.22,8092.00,4623.11,16068.80,3344.90,10063.06,52956.11,5074.14,142849.57
Orissa,37805.20,17739.00,92760.45,160310.63,24557.50,4340.08,96018.96,23860.09,19712.97,283268.29,12400.89,772774.06
Punjab,13944.04,59700.06,NA,47649.90,126721.89,NA,84736.28,4442.80,5225.24,146173.87,8783.64,497377.72
Rajasthan,82845.23,140799.03,47994.40,78395.59,776324.00,21458.47,77124.58,6020.09,7109.73,552605.12,11592.30,1802268.54
Sikkim,5586.35,23097.83,2392.25,3762.30,8579.54,1217.83,8750.67,1995.95,4194.70,37900.53,4447.62,101925.57
Tamil Nadu,155292.00,190227.00,12708.00,68355.00,277828.00,60261.00,229598.00,17390.00,8956.00,732631.00,30104.00,1783350.00
Tripura,12661.65,10585.22,14200.45,4479.91,8947.20,6802.46,32523.07,5568.91,1215.21,67855.79,8716.91,173556.78
Uttar Pradesh,267173.46,327773.26,91769.02,235740.84,595351.15,357449.25,379768.36,22109.97,21994.14,1405638.23,16383.43,3721151.11
Uttarakhand,24492.11,19498.17,NA,28430.23,38283.73,1729.10,82196.17,9539.53,4130.15,140824.93,2284.59,351408.71
West Bengal,60232.10,93790.42,89476.50,50435.11,148300.38,38302.69,94435.03,14842.62,3010.06,594783.28,24546.26,1212154.45
Union Territories Total ,18346.26,27386.10,NA,12559.88,18736.57,20113.34,480137.21,13277.19,8639.97,786232.11,59466.01,1444894.64
Andaman and Nicobar Islands,3262.19,5215.74,NA,689.97,3890.42,617.51,30599.85,2693.58,2591.56,32995.59,5670.01,88226.42
Chandigarh,51.93,135.00,NA,49.00,1078.67,98.00,1062.90,1375.52,240.58,40391.00,430.76,44913.36
Dadra and Nagar Haveli,450.31,529.92,NA,338.85,4178.76,69.48,3715.87,408.06,276.14,8357.56,538.92,18863.87
Daman and Diu,466.10,997.41,NA,305.85,2195.00,489.26,4531.33,162.23,322.09,6469.32,557.97,16496.56
Delhi,472.00,16137.56,NA,5961.81,339.36,9325.20,420814.11,6828.74,625.80,602616.24,41693.63,1104814.45
Lakshadweep,3199.56,257.40,NA,501.75,948.00,165.84,11053.97,1054.87,627.14,8536.11,242.54,26587.18
Puducherry,10444.17,4113.07,NA,4712.65,6106.36,9348.05,8359.18,754.19,3956.66,86866.29,10332.18,144992.80
