State/UTs,Agriculture and Allied Activities,Rural Development,Special Area Programmes,Irrigation and Flood Control,Energy,Industry and Minerals,Transport,Science Technology and Environment,General Economic Services,Social Services,General Services,Total
States Total,3671959.38,3111650.51,1534199.92,7072384.45,5256428.09,1406461.17,5299198.06,732791.40,2625837.74,21781061.66,5488131.62,57980104.00
Andhra Pradesh,269509.01,549662.55,1500.00,1497400.20,41541.80,78409.54,364506.00,11019.00,157093.38,1882005.52,40853.00,4893500.00
Arunachal Pradesh,10023.60,2674.95,14686.50,16857.00,23299.10,2540.97,39413.35,6959.62,168471.11,63230.30,5343.50,353500.00
Assam,81523.05,88872.00,143174.00,169864.30,34864.30,16816.00,109687.90,20248.50,37103.59,286267.16,61579.20,1050000.00
Bihar,192405.03,117250.20,168550.00,252075.12,186786.60,47244.66,535370.69,34532.96,181608.07,1022119.64,62057.03,2800000.00
Chattisgarh,228424.00,66097.00,76146.00,208625.00,126356.00,26847.00,274074.00,49025.00,82189.00,941385.00,268836.00,2348004.00
Goa,20408.25,12861.20,1143.99,27439.36,30280.00,5692.85,39608.76,9020.41,35304.33,223616.31,64624.54,470000.00
Gujarat,307557.71,146725.70,16144.70,1170019.99,379036.00,247357.00,501646.00,105029.17,164787.76,2053374.86,8321.11,5100000.00
Haryana,78794.00,107017.00,3300.00,86000.00,135910.00,6226.00,146594.00,21004.00,32590.00,819891.00,1211174.00,2648500.00
Himachal Pradesh,35618.00,17191.00,2200.00,31847.00,53192.00,3697.00,73693.00,13818.00,9365.00,123356.00,6023.00,370000.00
Jammu and Kashmir,23267.28,5806.84,212433.79,35384.20,45407.97,12583.20,58867.14,3274.20,103857.90,163526.49,65590.99,730000.00
Jharkhand,65743.00,170769.00,114744.00,178638.00,117800.00,19400.00,217500.00,19609.00,159763.34,535320.66,30713.00,1630000.00
Karnataka,378552.00,143265.00,58273.00,759680.00,482255.00,68694.00,448555.00,47294.00,104832.00,1619299.00,92301.00,4203000.00
Kerala,123641.00,44287.00,28430.00,46580.00,116541.00,54770.00,119581.00,44652.00,27656.00,465013.00,329849.00,1401000.00
Madhya Pradesh,206606.17,194596.24,107525.00,336585.28,274987.11,67326.15,361034.01,62979.99,60241.11,1107535.81,20583.13,2800000.00
Maharashtra,286962.00,150356.00,18282.00,761429.00,306254.00,35265.00,557549.00,41315.00,73199.00,2040583.00,2828806.00,7100000.00
Manipur,10358.36,16041.00,7739.00,75560.00,13550.00,3250.00,6206.00,8063.00,121952.92,84157.72,3122.00,350000.00
Meghalaya,42750.00,16601.00,8763.00,23015.00,51780.00,4870.00,47356.00,12014.00,44596.00,128825.00,13330.00,393900.00
Mizoram,44547.47,4929.03,9421.00,11535.56,9709.14,9384.55,33522.60,6429.89,18149.40,71583.23,10788.13,230000.00
Nagaland,21733.00,3849.00,23902.00,20300.00,11210.00,5647.00,32484.00,5613.00,37876.00,60828.00,6558.00,230000.00
Odisha,134211.45,40138.50,176951.00,245101.35,250925.00,9966.60,187329.00,41684.00,49776.67,562386.54,26529.89,1725000.00
Punjab,50639.55,30290.90,0.00,92264.00,331349.00,5415.00,164459.00,12022.00,30342.58,539475.67,143742.30,1400000.00
Rajasthan,143498.57,325642.62,18299.99,133862.12,1272604.64,23113.76,225702.25,43391.79,48681.19,1081013.18,34189.89,3350000.00
Sikkim,6679.75,47035.39,4253.00,14903.38,4113.26,1046.58,10980.82,8741.40,13074.68,72627.92,4243.82,187700.00
Tamil Nadu,238695.81,415562.92,19392.00,86482.77,151720.34,50552.83,152235.21,25926.73,200750.55,1456807.02,1873.82,2800000.00
Tripura,13800.00,12064.69,14739.00,20077.67,2495.90,4078.10,18050.40,7533.45,46143.40,80394.89,5622.50,225000.00
Uttar Pradesh,484153.00,152675.00,115565.00,505903.00,395180.00,507787.00,282214.00,18284.00,579126.00,2690437.00,48676.00,5780000.00
Uttarakhand,48160.62,70662.23,0.00,71199.13,61222.93,3546.89,124831.68,26815.29,21926.78,344834.44,46800.01,820000.00
West Bengal,123697.70,158726.55,168641.95,193756.02,346057.00,84933.49,166147.25,26492.00,15379.98,1261167.30,46000.76,2591000.00
Union Territories Total,33633.87,36782.03,0.00,17001.21,130456.39,19944.00,466591.02,30024.87,48909.16,1258474.83,245841.62,2287659.00
Andaman and Nicobar Islands,4938.00,6799.00,0.00,1691.00,5870.00,690.00,59099.00,14235.00,4365.00,62963.00,9493.00,170143.00
Chandigarh,131.00,560.00,0.00,16.00,3375.00,90.00,6470.00,2081.00,1415.00,58436.00,1149.00,73723.00
Dadra and Nagar Haveli,1096.00,2888.00,0.00,1751.00,16949.00,449.00,13877.00,649.00,1205.00,19823.00,2081.00,60768.00
Daman and Diu,1636.00,1522.00,0.00,1000.00,6700.00,500.00,22960.00,1060.00,2039.00,17241.00,2167.00,56825.00
Delhi,0.00,16222.00,0.00,5500.00,85961.00,6900.00,337200.00,8100.00,22457.00,960550.00,143310.00,1586200.00
Lakshadweep,3150.00,650.00,0.00,500.00,1800.00,350.00,10750.00,3236.00,1562.00,16977.00,1025.00,40000.00
Puducherry,22682.87,8141.03,0.00,6543.21,9801.39,10965.00,16235.02,663.87,15866.16,122484.83,86616.62,300000.00
